Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
12.09.2023;176.3;-0.01706066;179.490;180.130;174.820;90370192;176.7144;14.23;176.31;176.3;0.01;20.37;27.621;22.062;21.118;-0.59;0.21;0.99;0.25;0.23;0.021;29.63;29.07;24.71
13.09.2023;174.21;-0.011854793;176.510;177.300;173.980;84267928;175.0164;13.48;174.21;174.2;0.01;20.073;27.495;22.183;19.73;0.03;-0.87;-0.22;0.25;-0.36;0.021;29.28;28.7;24.42
14.09.2023;175.74;0.008782504;174.000;176.100;173.580;60895757;175.3763;12.82;175.73;175.72;0.01;19.004;27.704;22.254;19.786;0.84;0.49;0.86;0.82;0.02;0.021;29.54;28.96;24.63
15.09.2023;175.01;-0.004153864;176.480;176.495;173.820;109259461;175.1057;13.79;174.96;174.93;0.03;19.77;23.708;21.959;19.722;-1.21;0.21;0.25;-0.33;0.5;0.021;29.41;28.84;24.53
18.09.2023;177.97;0.016913319;176.480;179.380;176.170;67257573;177.9215;14;177.99;177.98;0.01;19.108;23.767;22.278;19.85;-0.04;-0.82;-0.19;0.2;-0.05;0.021;29.91;29.33;24.95
19.09.2023;179.07;0.006180817;177.520;179.630;177.130;51826941;178.4307;14.11;179.1;179.09;0.01;19.447;23.787;22.277;19.875;-0.27;-0.11;0;0.32;0.31;0.021;30.1;29.51;25.1
20.09.2023;175.49;-0.019992182;179.260;179.695;175.400;58436181;176.9399;15.14;175.49;175.48;0.01;20.849;24.402;22.401;20.147;-0.95;-0.05;0.26;0.27;0.49;0.021;29.49;28.92;24.6
21.09.2023;173.93;-0.008889395;174.550;176.300;173.860;63149116;174.8603;17.54;173.93;173.92;0.01;21.812;24.531;22.401;20.201;-1.69;0.34;0.38;0.56;0.13;0.021;29.23;28.66;24.38
22.09.2023;174.79;0.004944518;174.670;177.079;174.050;56725385;175.4537;17.2;174.81;174.77;0.04;24.682;24.591;22.431;20.218;-0.25;-0.09;-0.51;0.18;-0.19;0.021;29.38;28.81;24.5
25.09.2023;176.08;0.007380285;174.200;176.970;174.150;46172740;175.6778;16.9;176.1;176.08;0.02;25.049;24.523;21.911;20.247;0.39;-0.06;0.33;0.58;-0.46;0.021;29.59;29.02;24.68
26.09.2023;171.96;-0.023398455;174.820;175.200;171.660;64588945;172.695;18.94;171.9;171.89;0.01;26.507;25.291;22.36;20.52;-1.46;0.36;-0.51;-0.34;-0.07;0.021;28.9;28.34;24.1
27.09.2023;170.43;-0.008897418;172.620;173.040;169.050;66921808;170.5326;18.22;170.43;170.42;0.01;26.513;25.376;22.393;20.573;0.13;0.78;0.1;0.19;-0.28;0.021;28.64;28.09;23.89
28.09.2023;170.69;0.001525553;169.340;172.030;167.620;56294419;170.3172;17.34;170.69;170.68;0.01;25.987;25.04;22.385;20.556;0.65;0.19;0.04;0.43;-0.03;0.021;28.69;28.13;23.93
29.09.2023;171.21;0.003046458;172.020;173.070;170.341;51861083;171.59;17.52;171.22;171.18;0.04;25.739;25.043;22.394;20.398;-0.27;-0.02;0.31;-0.19;-0.15;0.021;27.98;28.22;24.41
02.10.2023;173.75;0.014835582;171.220;174.300;170.930;52164535;173.2998;17.61;173.75;173.74;0.01;25.014;25.347;22.573;20.551;-0.14;-1.28;-1.05;0.87;-0.52;0.021;28.39;26.26;24.77
03.10.2023;172.4;-0.007769784;172.255;173.630;170.820;49594613;172.1363;19.78;172.47;172.46;0.01;26.94;25.306;22.612;20.564;-1.5;-0.26;-0.15;0.3;0.14;0.021;28.17;26.06;24.58
04.10.2023;173.66;0.007308585;171.090;174.210;170.970;53020286;172.9405;18.58;173.66;173.65;0.01;25.918;24.461;22.58;20.46;0.77;-0.53;-0.37;-0.39;-0.33;0.021;28.38;26.25;24.76
05.10.2023;174.91;0.007197973;173.790;175.450;172.680;48527918;174.2508;18.49;174.98;174.97;0.01;25.499;23.307;22.624;20.416;-0.15;0.28;0.09;-0.46;-0.12;0.021;28.58;26.44;24.94
06.10.2023;177.49;0.014750443;173.800;177.990;173.180;57266675;176.3696;17.45;177.48;177.47;0.01;24.808;23.422;22.871;20.571;1.21;-0.44;-0.55;-0.31;-0.52;0.021;29;26.83;25.31
09.10.2023;178.99;0.00845118;176.810;179.050;175.800;42390772;177.8905;17.7;179;178.99;0.01;24.048;23.408;22.628;20.44;0.59;-0.16;0.26;0.82;-0.37;0.021;29.25;27.07;25.52
10.10.2023;178.39;-0.003352143;178.100;179.720;177.950;43698019;178.6785;17.03;178.42;178.41;0.01;24.138;22.421;22.632;20.431;0.61;0.33;0.62;-0.24;0.19;0.021;29.15;26.98;25.43
11.10.2023;179.8;0.00790403;178.200;179.850;177.600;47551098;178.9715;16.09;179.75;179.73;0.02;23.321;21.733;22.647;20.435;0.32;-0.65;0.38;0.64;-0.25;0.021;29.38;27.19;25.64
12.10.2023;180.71;0.005061179;180.070;182.340;179.040;56743119;180.9494;16.69;180.73;180.72;0.01;23.915;21.808;22.608;20.45;-0.81;-1.5;0.11;1.19;-0.22;0.021;29.53;27.33;25.77
13.10.2023;178.85;-0.010292734;181.420;181.930;178.140;51456082;179.3858;19.32;178.88;178.87;0.01;25.616;21.751;22.666;20.484;-0.59;-0.35;0.05;0.08;0.46;0.021;29.22;27.05;25.5
16.10.2023;178.72;-0.000726866;176.750;179.075;176.510;52516984;178.148;17.21;178.68;178.67;0.01;25.109;21.732;22.637;20.313;1.14;0.58;-0.1;-0.36;-0.02;0.021;29.2;27.05;25.48
17.10.2023;177.15;-0.008784691;176.645;178.420;174.800;57549350;176.8637;17.88;177.14;177.12;0.02;25.565;19.085;22.657;20.363;0.09;1.05;0.68;-0.1;0.32;0.021;28.95;26.81;25.26
18.10.2023;175.84;-0.007394863;175.580;177.575;175.110;54764375;176.3438;19.22;175.84;175.81;0.03;27.232;17.044;22.654;20.216;-1.47;-0.61;-0.17;0.87;0.46;0.021;28.73;26.62;25.07
19.10.2023;175.46;-0.002161056;176.040;177.840;175.190;59302863;176.2227;21.4;175.46;175.45;0.01;28.157;17.01;22.63;20.215;-0.92;-0.54;-0.22;-0.05;0.01;0.021;28.67;26.56;25.02
